question,A,B,C,D,answer
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told my daughter to finish the vegetables on her plate, so she put the vegetables down her gullet when I was not looking. Scenario 2 | I told the hospital front desk my son was seriously ill because he needed a doctor's attention.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",D
"This question refers to the following information.While some theorists in the Middle Ages argued that the jihad was a defensive war… most authorities held that the obligation of jihad did not lapse until all the world was brought under the sway of Islam. The Bahr [al-Fava'id, or ""Sea of Precious Virtues,"" written in the 1150s or 1160s] insists that the first duty of a Muslim ruler is to prosecute the jihad and bring about the victory of Islam, and if he does not do so and he makes peace with the infidel, that ruler would be better dead than alive, for he would be corrupting the world.Robert Irwin, ""Islam and the Crusades,"" 1995It is strange how the Christians round Mount Lebanon, when they see any Muslim hermits, bring them food and treat them kindly, saying that these men are dedicated to the Great and Glorious God and that they should therefore share with them. Likewise, not one Christian merchant was stopped or hindered in Muslim territories.Ibn Jubayr, Muslim scholar, traveling to Mecca and Jerusalem, ca. 1185The first passage tends to support which of the following traditional historical assumptions?",(A) That the majority of Muslims were more peaceful than Christians during the crusading era,(B) That most Muslims were interested only in protecting their own territory during the crusading era,(C) That many Muslims during the crusading era were driven by Islamic faith to be inherently violent,(D) That the ideology of holy war was taken seriously by Muslim elites during the crusading era,D
Wolf claims that morality:,(A) is merely a cultural artifact.,(B) is not really relevant to our lives.,(C) provides a comprehensive guide to conduct.,(D) none of the above.,D
"A genetic study comparing the bones of a 7,000-year-old skeleton found in Germany, eight human skeletons dating to 8,000 years ago in Luxembourg, and more than 2,300 living Europeans found that the modern European genome included contributions from:","(A) the earliest anatomically modern Homo sapiens who lived in Europe 45,000 years ago.","(B) people genetically traceable to the Middle East who moved into Europe about 9,000 years ago.","(C) people who moved there from west Asia less than 5,000 years ago.",(D) all of the above.,D
Charles Darwin discovered that plants and animals had evolved through a process known as ____________. Early archaeologists discovered that ______________________.,(A) scientific creationism; human culture evolved differently than plants and animals,(B) unilineal evolution; civilizations evolved more quickly than plants,(C) natural selection; human culture did not evolve or change much over time,(D) natural selection; human culture had evolved over an enormous period of time,D
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I hung several garments loose in the farmer's market. Scenario 2 | I told the police the right information","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",D
"This question refers to the following information.""I know that whenever the subject has occurred in conversation where I have been present, it has appeared to be the opinion of every one that we could not be taxed by a Parliament wherein we were not represented. But the payment of duties laid by an act of Parliament as regulations of commerce was never disputed. . . . An external tax is a duty laid on commodities imported; that duty is added to the first cost and other charges on the commodity, and, when it is offered for sale, makes a part of the price. If the people do not like it at that price, they refuse it; they are not obliged to pay it. But an internal tax is forced from the people without their consent if not laid by their own representatives. The Stamp Act says we shall have no commerce, make no exchange of property with each other, neither purchase nor grant, nor recover debts; we shall neither marry nor make our wills, unless we pay such and such sums; and thus it is intended to extort our money from us or ruin us by the consequence of refusing to pay it.""—Benjamin Franklin, Examination before Parliament, 1766President Jackson's policy was later altered by the",(A) Homestead Act of 1862.,(B) Immigration Act of 1921.,(C) Supreme Court decision in Plessy v. Ferguson.,(D) Dawes Act of 1887.,D
"A state's constitution reserves to the people of each municipality in the state the power of referendum with respect to all questions that the municipality is authorized to control by legislation. A real estate developer applied for a zoning change to permit construction of a convalescent home on land he owned in a city within the state. While the application was pending, the city charter was amended by popular vote so as to require that any changes in land use agreed to by the city council be approved by a 55% vote in a referendum. The city planning commission and the city council both approved the proposed zoning change. However, the real estate developer's subsequent application for approval for a proposed home on the grounds was rejected because the rezoning action had not been submitted to a referendum. In an action brought in state court seeking a judgment declaring the city charter amendment invalid, the court will most likely declare the amendment","(A) unconstitutional, as violation of the real estate developer's due process rights.","(B) unconstitutional, as an unlawful delegation of legislative power to a regulatory body.","(C) constitutional, as a valid exercise of the city's police power.","(D) constitutional, as a valid exercise of a power reserved by the people to themselves.",D
 Which Jaina group only allows women to lead a life of semi-renunciation?,(A) Svetambara,(B) Jina,(C) Agama,(D) Digambara,D
Hare claims that once two people agree on the meaning of the term “ought”:,(A) they will share all the same moral opinions.,(B) they will disagree morally only if they disagree about the facts of the case.,(C) they will disagree morally only if they have different inclinations.,(D) none of the above.,D
 Nathanson proposes a form of retributivism that requires all of the following except,(A) a list of crimes ranked according to their seriousness.,(B) a scale of punishments that correspond to the seriousness of certain crimes.,(C) treating criminals humanely.,(D) the death penalty for the most serious crimes.,D
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I poured the rest of my drink in the kitchen sink. Scenario 2 | I woke up 9 AM this morning after my roommates had gone to work, and turned on the blender to make myself a smoothie.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",D
" In support of her thesis that global social institutions violate the rights of the world's poor, Ashford argues that",(A) illicit cash flow to tax havens from rich countries exceeds aid to the world's poor.,(B) the implementation of neoliberal economic policies have had at mixed and at worse adverse impacts of the economic and social rights of the world's poor.,(C) that wealthy nations press their political and economic advantages to secure unfair trade agreements with poor countries.,(D) all of the above,D
"This question refers to the following information.Gunpowder Weaponry: Europe vs. ChinaIn Western Europe during the 1200s through the 1400s, early cannons, as heavy and as slow to fire as they were, proved useful enough in the protracted sieges that dominated warfare during this period that governments found it sufficiently worthwhile to pay for them and for the experimentation that eventually produced gunpowder weapons that were both more powerful and easier to move. By contrast, China, especially after the mid-1300s, was threatened mainly by highly mobile steppe nomads, against whom early gunpowder weapons, with their unwieldiness, proved of little utility. It therefore devoted its efforts to the improvement of horse archer units who could effectively combat the country's deadliest foe.What traditional view of world history does this passage seem to challenge?",(A) That China has always been less technologically adept than most Afro-Eurasian societies,(B) That China's rigid form of dictatorial rule suppressed any spirit of military or technological innovation,(C) That China was hindered by religious fundamentalism when it came to modernizing efforts,(D) That China was surpassed by Europe in global power because it turned a blind eye to the obvious benefits of technological change,D
 Richardson-Self discusses which of the following kinds of speech?,(A) hate speech,(B) misogynistic speech,(C) sexist speech,(D) all of the above,D
 Which of the following is an example of a virtue?,(A) honesty,(B) courage,(C) kindness,(D) all of the above,D
"A resident in an exclusive residential area is a marine biologist. To aid in his study of sharks, he had a large tank built in his backyard in which he placed a great white shark. Aside from a smell that emanated from the tank, some neighbors were concerned and afraid to let their children outside for fear that they would wander onto the resident's property. In order to convince his neighbors that they had nothing to fear, the resident invited them over to view the shark tank. While a neighbor was standing near the tank, the shark splashed its tail, and the neighbor got very wet. The neighbor, who had a cold, developed bronchitis. If the neighbor sues the resident for damages incurred from being drenched by the shark and bases her suit on strict liability, she will most likely","(A) recover, because the possessor of wild animals is strictly liable for all injuries caused to others by the animals.","(B) recover, because the smell from the shark tank was a nuisance.","(C) not recover, because she suffered injury only because she had a cold and, therefore, was unusually vulnerable to harm from being splashed with water.","(D) not recover, because she did not suffer the type of harm normally inflicted by a shark.",D
" Leopold claims that history has shown that ""the conqueror role is eventually self-defeating."" It is self-defeating, in this view, because",(A) the conqueror doesn't understand what makes the conquered community tick.,(B) the conqueror doesn't know what and who within the community is valuable.,(C) the conqueror doesn't know what and who is worthless in community life.,(D) all of the above,D
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went to the seven eleven and placed my items on the counter. Scenario 2 | At the theater, I took out my phone before the movie started to text a friend.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",D
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | When my step-mother stuck her hand in the blender to extract an ice cube, I made sure it was in the 'off' position. Scenario 2 | I painted my car a bright shade of purple.","(A) Wrong, Wrong","(B) Wrong, Not wrong","(C) Not wrong, Wrong","(D) Not wrong, Not wrong",D
"A man was at a bar drinking beer when he started conversing with a woman who was seated at the next barstool. During the course of their conversation, the woman told the man that she was just laid off her job and desperately needed money to pay her rent. The man, a practical joker, pointed to a nearby coat rack and said, ""Hey, see that fur coat there. Why don't you take it?"" The man then told the woman that he would cause a disturbance to distract attention while she ran out of the bar with the coat. Believing that it was a good idea, the woman agreed to take part in the scheme. Thereupon, the man lit a matchbook and threw it on top of the bar. He then yelled, ""The bar's on fire, help!"" When everyone turned to look at the man, the woman ran to the back of the bar, took the fur coat and scurried outside unnoticed. Just as the woman left the bar and was running down the sidewalk, she was apprehended and arrested by a police officer. Later, the man confessed that the fur coat that the woman took really belonged to him. With respect to the man's and the woman's criminal liability, which of the following is most correct?",(A) The man and the woman are guilty of conspiracy and larceny.,(B) The man and the woman are guilty of larceny.,(C) The woman is guilty of larceny.,(D) The man and the woman are not guilty of either conspiracy or larceny.,D
Which of the following best describes the snob appeal fallacy?,(A) reasoning that a claim is true based only on the evidence that it has been made so often.,(B) arguing someone should accept a claim based only on the evidence that he or she has the favorable characteristics to understand the truth of the claim.,(C) arguing a claim should be accepted based only on evidence that unidentified authorities accept it.,"(D) arguing that someone should accept an idea or product based only on evidence that prestigious people accept it, or that non-prestigious people reject it.",D
"A man who was reportedly a renowned art thief was on trial for stealing several Picassos from a museum. The paintings had been recovered and were in the courtroom. The prosecution presented a professor of art history to authenticate each piece. The defense objected on the basis that the museum curator where the paintings were housed had to identify if these were in fact the paintings that were stolen. Assuming that others will testify to the fact of the burglary, is the court likely to reject this witness as being qualified to authenticate the paintings in question, and why or why not?","(A) Yes, because art works and other physical evidence must be authenticated by their official custodian.","(B) Yes, because an outside person may be able to partially authenticate the painting but he can't say whether it is the one that was in the museum or that was stolen.","(C) No, granting the objection will simply waste the court's time if the court has to bring in the museum curator and go through hoops to authenticate the paintings.","(D) No, because the authentication can be accomplished in several different ways that will verify that it is the genuine piece of art in question.",D
"A man entered a local retail store and approached the proprietor. The man explained that he was participating in a local run for charity and wondered if the proprietor would be interested in sponsoring him. The proprietor believed the publicity would be good for his business and agreed, provided the man would wear a shirt with the retail store's logo on it during the run. The man readily agreed. The proprietor thought that sponsorship meant paying a set fee for every mile covered during the charity run. However, the man expected the proprietor, in addition to paying the fee for each mile coverÃ§d during the run, to also pay his entrance fee and be in attendance at the finish line to greet the man when he finished the charity run. Assume that the man and the proprietor entered into an enforceable contract. Which of the following, if true, would not help to establish that the manifestations of the parties were operative according to the meaning adjudged by the proprietor?","(A) The customary practice of the other chrity runs in the community is the same as the proprietor's understanding, that the sponsor be responsible for paying only a set fee for each mile covered during the charity run.",(B) A reasonably objective individual would have attached the same meaning to the manifestations of the parties as did the proprietor.,"(C) At the time the agreement was entered into, the man had reason to know the proprietor's understanding of what the parties meant, although the proprietor did not know the man's understanding was different from his.",(D) The proprietor subjectively believed that the man understood that the proprietor would only be obligated to pay a set fee for each mile covered during the charity run.,D
The reason that archaeologists long suggested that the walls of Great Zimbabwe could not have been built by an indigenous sub-Saharan people was that:,(A) the architecture was clearly built by Egyptians.,(B) historical records show that it was constructed by early Dutch settlers.,(C) symbolic motifs incorporated into the walls indicate that they were built by Indian traders.,(D) they thought sub-Saharan Africans were incapable of such achievements.,D
Socrates tells Crito that he should attempt to break out of prison if and only if doing so would be:,(A) to his advantage.,(B) harmful to his enemies and advantageous to his friends.,(C) pleasing to the gods.,(D) just.,D
